date;value
2021-10-07;4110
2021-10-07;4150
2021-10-07;4360
2021-12-07;4535
2021-12-07;4580
2021-12-07;4580
2021-12-07;4580
2021-12-07;4605
2021-12-07;4605
2021-12-07;4630
2021-12-07;4630
2021-12-07;10374
2021-12-07;4675
2021-12-07;4675
2021-12-07;4695
2021-07-13;5010
2021-07-13;5180
2021-07-14;5250
2021-07-14;5250
2021-07-14;5295
2021-07-14;5320
2021-07-14;5475
2021-07-15;5475
2021-07-15;5520
2021-07-15;5680
2021-07-15;5920
2021-07-15;5945
2021-07-16;6055
2021-07-16;6195
2021-07-16;6470
2021-07-17;6770
2021-07-17;7055
2021-07-17;0
2021-07-17;7100
2021-07-19;7210
2021-07-19;7235
2021-07-19;7325
2021-07-19;7485
2021-07-19;7510
2021-07-19;7510
2021-07-19;7510
2021-07-19;8150
2021-07-20;7685
2021-07-20;7685
2021-07-20;7735
2021-07-20;7855
2021-07-21;7855
2021-07-21;8095
2021-07-21;8250
2021-07-21;8375
2021-07-21;8375
2021-07-21;8375
2021-07-21;8375
2021-07-22;8375
2021-07-22;8415
2021-07-22;8510
2021-07-22;8645
2021-07-22;8765
2021-07-22;8765
2021-07-23;9160
2021-07-23;9370
2021-07-23;9370
2021-07-23;9440
2021-07-24;9620
2021-07-24;9800
2021-07-24;9865
2021-07-24;9910
2021-07-24;9935
2021-07-26;9935
2021-07-26;10040
2021-07-26;10085
2021-07-26;10150
2021-07-26;10195
2021-07-27;10440
2021-07-27;10440
2021-07-27;10500
2021-07-27;10525
2021-07-27;10570
2021-07-27;10570
2021-07-27;10605
2021-07-28;10605
2021-07-28;10695
2021-07-28;10740
2021-07-28;10740
2021-07-28;10810
2021-07-28;10810
2021-07-29;10870
2021-07-29;10915
2021-07-29;10940
2021-07-29;10940
2021-07-29;11095
2021-07-29;11095
2021-07-29;11120
2021-07-29;11190
2021-07-29;11190
2021-07-29;11225
2021-07-29;11225
2021-07-29;11225
