DATA DE FECHAMENTO;MÊS;ANO;VALOR
24/11/2020 00:00;11;20;9772
24/11/2020 00:00;11;20;9822
24/11/2020 00:00;11;20;9862
24/11/2020 00:00;11;20;9902
25/11/2020 00:00;11;20;9902
25/11/2020 00:00;11;20;10052
25/11/2020 00:00;11;20;10142
25/11/2020 00:00;11;20;10212
25/11/2020 00:00;11;20;10212
25/11/2020 00:00;11;20;10212
26/11/2020 00:00;11;20;10212
26/11/2020 00:00;11;20;10262
26/11/2020 00:00;11;20;10312
26/11/2020 00:00;11;20;10372
26/11/2020 00:00;11;20;10392
26/11/2020 00:00;11;20;10392
26/11/2020 00:00;11;20;10392
27/11/2020 00:00;11;20;10502
27/11/2020 00:00;11;20;10522
27/11/2020 00:00;11;20;10562
27/11/2020 00:00;11;20;10592
27/11/2020 00:00;11;20;10632
27/11/2020 00:00;11;20;10702
27/11/2020 00:00;11;20;10702
27/11/2020 00:00;11;20;10762
28/11/2020 00:00;11;20;10762
28/11/2020 00:00;11;20;10782
28/11/2020 00:00;11;20;10782
28/11/2020 00:00;11;20;10782
30/11/2020 00:00;11;20;10992
30/11/2020 00:00;11;20;11012
30/11/2020 00:00;11;20;11072
30/11/2020 00:00;11;20;11072
30/11/2020 00:00;11;20;11072
01/12/2020 00:00;12;20;270
01/12/2020 00:00;12;20;270
01/12/2020 00:00;12;20;270
02/12/2020 00:00;12;20;430
02/12/2020 00:00;12;20;430
03/12/2020 00:00;11;20;11072
03/12/2020 00:00;12;20;570
03/12/2020 00:00;12;20;570
03/12/2020 00:00;12;20;570
03/12/2020 00:00;12;20;570
03/12/2020 00:00;12;20;570
03/12/2020 00:00;12;20;570
03/12/2020 00:00;12;20;570
04/12/2020 00:00;12;12;0
04/12/2020 00:00;12;20;930
05/12/2020 00:00;12;20;970
05/12/2020 00:00;12;20;1070
05/12/2020 00:00;11;20;11092
05/12/2020 00:00;11;20;11092
07/12/2020 00:00;12;20;1500
07/12/2020 00:00;12;20;1580
07/12/2020 00:00;12;20;1620
07/12/2020 00:00;8;20;13330
07/12/2020 00:00;12;20;1780
07/12/2020 00:00;12;20;1780
08/12/2020 00:00;12;20;1840
08/12/2020 00:00;12;20;1920
09/12/2020 00:00;12;20;2130
09/12/2020 00:00;12;20;2180
09/12/2020 00:00;12;20;2220
09/12/2020 00:00;12;20;2220
10/12/2020 00:00;12;20;2280
10/12/2020 00:00;12;20;2470
10/12/2020 00:00;12;20;2570
10/12/2020 00:00;12;20;2570
11/12/2020 00:00;12;20;2630
11/12/2020 00:00;12;20;2860
11/12/2020 00:00;3;20;0
11/12/2020 00:00;4;20;5605
11/12/2020 00:00;5;20;7365
11/12/2020 00:00;6;20;7320
11/12/2020 00:00;7;20;10374
11/12/2020 00:00;8;20;13330
11/12/2020 00:00;9;20;12579
11/12/2020 00:00;10;20;12762
11/12/2020 00:00;11;20;11072
11/12/2020 00:00;12;20;2880
11/12/2020 00:00;4;20;5605
11/12/2020 00:00;5;20;7365
11/12/2020 00:00;5;20;7365
11/12/2020 00:00;6;20;7320
11/12/2020 00:00;7;20;10374
11/12/2020 00:00;8;20;13330
11/12/2020 00:00;9;20;12579
11/12/2020 00:00;10;20;12762
11/12/2020 00:00;11;20;11072
11/12/2020 00:00;12;20;2880
11/12/2020 00:00;12;12;0
11/12/2020 00:00;12;12;0
11/12/2020 00:00;12;20;2880
11/12/2020 00:00;12;20;2880
11/12/2020 00:00;12;20;2900
11/12/2020 00:00;12;20;2920
12/12/2020 00:00;12;20;3160
12/12/2020 00:00;12;20;3370
